Admin_division,gdp_1980,gdp_1985,gdp_1990,gdp_1995,gdp_2000,gdp_2005,gdp_2008,gdp_2009,gdp_2010
Shanghai_Municipality,2227,2249,2884,5366,9132,14401,17510,18398,19344
Beijing_Municipality,1262,1560,2262,3830,7333,13341,17475,18741,19311
Tianjin_Municipality,1109,1280,1702,2948,5274,10963,15345,16645,18561
Jiangsu_Province,442,621,1029,2209,3576,7140,10468,11772,13436
Zhejiang_Province,385,630,1043,2459,4077,7850,10832,11662,13149
Inner_Mongolia_Autonomous_Region,295,477,721,1138,1976,4724,9122,10570,12039
Guangdong_Province,393,605,1212,2453,3871,7149,9847,10490,11375
Liaoning_Province,663,834,1317,2076,3397,5533,8303,9350,10770
Shandong_Province,328,523,886,1721,2834,5782,8617,9548,10452
Fujian_Province,284,435,860,1970,3402,5323,7784,8894,10177
Jilin_Province,364,512,852,1329,2234,3872,6153,7074,8035
Hebei_Province,349,424,715,1341,2307,4252,6013,6539,7290
Hubei_Province,350,472,752,1108,1913,3351,5195,6032,7096
Chongqing_Municipality,292,368,576,1186,1907,3598,5361,6097,7017
Shaanxi_Province,273,356,606,895,1510,3096,5154,5838,6899
Heilongjiang_Province,567,627,990,1630,2521,4188,5688,5971,6885
Ningxia_Hui_Autonomous_Region,353,435,680,1041,1634,3002,5130,5793,6845
Shanxi_Province,361,494,746,1061,1739,3668,5626,5725,6683
Xinjiang_Uygur_Autonomous_Region,335,484,836,1419,2241,3802,5179,5305,6366
Hunan_Province,298,369,599,1014,1649,3064,4748,5434,6286
Henan_Province,259,342,532,995,1656,3291,5018,5479,6216
Qinghai_Province,387,477,760,1060,1562,2914,4819,5175,6132
Hainan_Province,N/A,430,762,1528,2066,3238,4628,5122,6060
Jiangxi_Province,279,352,553,874,1474,2738,4160,4611,5404
Sichuan_Province,261,336,554,918,1506,2628,4054,4612,5386
Anhui_Province,238,381,577,926,1453,2503,3780,4365,5311
Guangxi_Zhuang_Autonomous_Region,227,278,520,997,1414,2492,3833,4268,5141
Tibet_Autonomous_Region,385,528,623,712,1390,2621,3617,4069,4404
Gansu_Province,317,359,536,699,1255,2169,3250,3530,4097
Yunnan_Province,218,287,597,930,1450,2265,3289,3601,4005
Guizhou_Province,179,248,395,551,839,1565,2578,2918,3336
